Dataset,Max_Sparsity_PPVs,Mean_Sparsity_PPVs,Median_Sparsity_PPVs,Min_Sparsity_PPVs
ACSF1,1.0,0.49438175118023814,0.5,0.0
Adiac,1.0,0.4974089463068098,0.5113636363636364,0.0
ArrowHead,1.0,0.5018374754252067,0.504950495049505,0.0
BME,1.0,0.5189863576974775,0.5546875,0.0
Beef,1.0,0.5052130910944488,0.5085106382978724,0.0
BeetleFly,1.0,0.5093909420407378,0.505859375,0.0
BirdChicken,1.0,0.5114550302251566,0.513671875,0.0
CBF,1.0,0.4939014726700745,0.4897959183673469,0.0
Car,1.0,0.5216482828781709,0.5077989601386481,0.0
Chinatown,1.0,0.5059200892857143,0.5,0.0
ChlorineConcentration,1.0,0.4936614678612285,0.5,0.0
CinCECGTorso,1.0,0.49025321928484844,0.4789505796217206,0.0
Coffee,1.0,0.5024565961543089,0.5114942528735632,0.0
Computers,1.0,0.5169898304288569,0.5472222222222223,0.0
CricketX,1.0,0.5070452272049919,0.5083333333333333,0.0
CricketY,1.0,0.4925447723648535,0.4852941176470589,0.0
CricketZ,1.0,0.5038616225364471,0.5064102564102564,0.0
Crop,1.0,0.5165334350217278,0.5434782608695652,0.0
DiatomSizeReduction,1.0,0.5048306137447742,0.5043478260869565,0.0
DistalPhalanxOutlineAgeGroup,1.0,0.48983856842986795,0.48611111111111116,0.0
DistalPhalanxOutlineCorrect,1.0,0.4994281594872455,0.5,0.0
DistalPhalanxTW,1.0,0.5062184958747363,0.5125,0.0
DodgerLoopDay,1.0,0.5178155950189733,0.5075757575757576,0.0
DodgerLoopGame,1.0,0.5183346509958356,0.5071942446043165,0.0
DodgerLoopWeekend,1.0,0.5150142500136168,0.5069444444444444,0.0
ECG200,1.0,0.5038227023073049,0.5,0.0
ECG5000,1.0,0.4964022222562988,0.4928571428571429,0.0
ECGFiveDays,1.0,0.5014151609532405,0.5,0.0
EOGHorizontalSignal,1.0,0.5008305773453875,0.5,0.0
EOGVerticalSignal,1.0,0.5024468439310679,0.5008,0.0
Earthquakes,1.0,0.5054909221031825,0.5257936507936508,0.0
ElectricDevices,1.0,0.4910629952728557,0.5,0.0
EthanolLevel,1.0,0.5007981314330943,0.5071387778412335,0.0
FaceAll,1.0,0.5066371737866853,0.5114503816793894,0.0
FaceFour,1.0,0.4993963472159461,0.4971428571428571,0.0
FacesUCR,1.0,0.5075884126328472,0.5114503816793894,0.0
FiftyWords,1.0,0.49955215716115337,0.5,0.0
Fish,1.0,0.49762313222041354,0.5010799136069115,0.0
FordA,1.0,0.5013945818160245,0.5,0.0
FordB,1.0,0.49749127325640496,0.503125,0.0
FreezerRegularTrain,1.0,0.4910657013738299,0.4584717607973422,0.0
FreezerSmallTrain,1.0,0.5042873960256197,0.5182724252491695,0.0
Fungi,1.0,0.5006048791120719,0.5024875621890548,0.0
GunPoint,1.0,0.48991817707903573,0.4866666666666667,0.0
GunPointAgeSpan,1.0,0.5016096287110738,0.5,0.0
GunPointMaleVersusFemale,1.0,0.5005199401015537,0.5,0.0
GunPointOldVersusYoung,1.0,0.49841752746268514,0.5,0.0
Ham,1.0,0.5039851597961783,0.505800464037123,0.0
HandOutlines,1.0,0.5067423966611346,0.5064599483204134,0.0
Haptics,1.0,0.490056067993796,0.48901098901098905,0.0
Herring,1.0,0.49256810729857003,0.501953125,0.0
HouseTwenty,1.0,0.5011000107688102,0.5015313939671885,0.0
InlineSkate,1.0,0.4992544395893056,0.5090681219260194,0.0
InsectEPGRegularTrain,1.0,0.4959648587016392,0.43261231281198,0.0
InsectEPGSmallTrain,1.0,0.49834394332772214,0.4608985024958403,0.0
InsectWingbeatSound,1.0,0.5079540844996567,0.5133928571428572,0.0
ItalyPowerDemand,1.0,0.5059051468846246,0.5,0.0
LargeKitchenAppliances,1.0,0.4895140177041518,0.38493421052631577,0.0
Lightning2,1.0,0.4961554665737116,0.4853766762911394,0.0
Lightning7,1.0,0.505957373238045,0.5063291139240507,0.0
Mallat,1.0,0.49709572540870667,0.501953125,0.0
Meat,1.0,0.49821337155079265,0.5011160714285714,0.0
MedicalImages,1.0,0.49351991203717727,0.48484848484848486,0.0
MelbournePedestrian,1.0,0.5010660535714284,0.5,0.0
MiddlePhalanxOutlineAgeGroup,1.0,0.4825613348520078,0.4833333333333333,0.0
MiddlePhalanxOutlineCorrect,1.0,0.5009408927087141,0.5,0.0
MiddlePhalanxTW,1.0,0.5027568242482164,0.5,0.0
MixedShapesRegularTrain,1.0,0.4942069519938629,0.4963942307692307,0.0
MixedShapesSmallTrain,1.0,0.49624630882249376,0.4953952390376297,0.0
MoteStrain,1.0,0.5051761709030986,0.5119047619047619,0.0
NonInvasiveFetalECGThorax1,1.0,0.49620131731821854,0.4986666666666667,0.0
NonInvasiveFetalECGThorax2,1.0,0.5215728862378282,0.55,0.0
OSULeaf,1.0,0.49527397669575884,0.4907161803713528,0.0
OliveOil,1.0,0.4952578184370866,0.48070175438596496,0.0
PhalangesOutlinesCorrect,1.0,0.5035862431019502,0.5,0.0
Phoneme,1.0,0.4897154518254849,0.4900442477876106,0.0
PigAirwayPressure,1.0,0.5043106966353013,0.5065,0.0
PigArtPressure,1.0,0.49347649635097995,0.492,0.0
PigCVP,1.0,0.5060214700543698,0.5085,0.0
Plane,1.0,0.49868360535587264,0.5,0.0
PowerCons,1.0,0.49080518021341146,0.48750000000000004,0.0
ProximalPhalanxOutlineAgeGroup,1.0,0.5005583715533983,0.5,0.0
ProximalPhalanxOutlineCorrect,1.0,0.506756035219239,0.5,0.0
ProximalPhalanxTW,1.0,0.49306534700372096,0.5,0.0
RefrigerationDevices,1.0,0.5011879814348695,0.5,0.0
Rock,1.0,0.49931345954024237,0.500351617440225,0.0
ScreenType,1.0,0.4929928703018742,0.4738095238095238,0.0
SemgHandGenderCh2,1.0,0.501432022651989,0.5006666666666666,0.0
SemgHandMovementCh2,0.9951219512195122,0.500825375733273,0.5006738544474394,0.0
SemgHandSubjectCh2,1.0,0.4989172554256761,0.49921073352569756,0.0
ShapeletSim,0.875,0.4981105857309099,0.5,0.0
ShapesAll,1.0,0.49509663114913416,0.5021008403361344,0.0
SmallKitchenAppliances,1.0,0.49415368999744186,0.39321892210857595,0.0
SmoothSubspace,1.0,0.5066701587301586,0.5333333333333333,0.0
SonyAIBORobotSurface1,1.0,0.4996758209686599,0.5,0.0
SonyAIBORobotSurface2,1.0,0.5003333226257873,0.49230769230769234,0.0
StarLightCurves,1.0,0.5005316879703322,0.4990234375,0.0
Strawberry,1.0,0.5034582016742553,0.5031847133757962,0.0
SwedishLeaf,1.0,0.5010547733786187,0.5078125,0.0
Symbols,1.0,0.5093813781719765,0.5069204980842912,0.0
SyntheticControl,1.0,0.5032168508368176,0.5,0.0
ToeSegmentation1,1.0,0.49558690391948174,0.4945848375451264,0.0
ToeSegmentation2,1.0,0.5037310989539463,0.5071090047393365,0.0
Trace,1.0,0.4907195833358758,0.47457627118644063,0.0
TwoLeadECG,1.0,0.49608284128128577,0.4838709677419355,0.0
TwoPatterns,1.0,0.5074531671198202,0.5078125,0.0
UMD,1.0,0.4782394220582706,0.4509803921568627,0.0
UWaveGestureLibraryAll,1.0,0.5009736375258242,0.502495840266223,0.0
UWaveGestureLibraryX,1.0,0.5055746159116049,0.5111111111111111,0.0
UWaveGestureLibraryY,1.0,0.5012884927277227,0.5015873015873016,0.0
UWaveGestureLibraryZ,1.0,0.4920217445775465,0.4920634920634921,0.0
Wafer,1.0,0.4947057741506674,0.5,0.0
Wine,1.0,0.5040048301310488,0.5085470085470085,0.0
WordSynonyms,1.0,0.5027370564220015,0.49629629629629635,0.0
Worms,1.0,0.5041123460824938,0.49444444444444446,0.0
WormsTwoClass,1.0,0.504812136375317,0.5044444444444445,0.0
Yoga,1.0,0.5151858683906065,0.5093896713615024,0.0
