Dataset,Max_PPV,Mean_PPV,Median_PPV,Min_PPV
ACSF1,1.0,0.499227450819012,0.5,0.0
Adiac,1.0,0.4998541921679875,0.5,0.0
ArrowHead,1.0,0.5007508775669162,0.50199203187251,0.0
BME,1.0,0.5001321412613242,0.5,0.0
Beef,1.0,0.500270978799346,0.5,0.0
BeetleFly,1.0,0.4999479752962016,0.5,0.0
BirdChicken,1.0,0.5003447978794949,0.5,0.0
CBF,1.0,0.4993951128088052,0.5,0.0
Car,1.0,0.5005055722242836,0.49913344887348354,0.0
Chinatown,1.0,0.5037881448412699,0.5,0.0
ChlorineConcentration,1.0,0.5015072955314951,0.5,0.0
CinCECGTorso,1.0,0.5002259300634614,0.5003050640634533,0.0
Coffee,1.0,0.49883921587204283,0.5,0.0
Computers,1.0,0.5017362744880609,0.5013888888888889,0.0
CricketX,1.0,0.5002338807063889,0.5,0.0
CricketY,1.0,0.5000134019139996,0.5,0.0
CricketZ,1.0,0.5004321852377595,0.5,0.0
Crop,1.0,0.500664569982242,0.5,0.0
DiatomSizeReduction,1.0,0.5002940215296983,0.5014492753623189,0.0
DistalPhalanxOutlineAgeGroup,1.0,0.4990820699110775,0.5,0.0
DistalPhalanxOutlineCorrect,1.0,0.49976047303022664,0.5,0.0
DistalPhalanxTW,1.0,0.499521379511346,0.5,0.0
DodgerLoopDay,1.0,0.483952058489241,0.4930555555555556,0.0
DodgerLoopGame,1.0,0.4753095157988964,0.4928571428571429,0.0
DodgerLoopWeekend,1.0,0.48964027292348167,0.4965277777777778,0.0
ECG200,1.0,0.5007933970103766,0.5,0.0
ECG5000,1.0,0.49849638468016516,0.5,0.0
ECGFiveDays,1.0,0.4992201735484979,0.5,0.0
EOGHorizontalSignal,1.0,0.4997216139444068,0.5,0.0
EOGVerticalSignal,1.0,0.5000368978058011,0.5,0.0
Earthquakes,1.0,0.5005566545365682,0.5,0.0
ElectricDevices,1.0,0.4994101883844278,0.5,0.0
EthanolLevel,1.0,0.49988709488843425,0.500377645443411,0.0
FaceAll,1.0,0.500361963823933,0.5038167938931297,0.0
FaceFour,1.0,0.4998065061788616,0.5,0.0
FacesUCR,1.0,0.5002836283971446,0.5038167938931297,0.0
FiftyWords,1.0,0.5000264527429292,0.5,0.0
Fish,1.0,0.5010708770705347,0.5010799136069114,0.0
FordA,1.0,0.5000192158725191,0.5,0.0
FordB,1.0,0.5000070135873269,0.5,0.0
FreezerRegularTrain,1.0,0.5028071864174357,0.5016611295681063,0.0
FreezerSmallTrain,1.0,0.5011459093412372,0.5016611295681063,0.0
Fungi,1.0,0.5035161359187525,0.5034013605442177,0.0
GunPoint,1.0,0.499311131125047,0.5,0.0
GunPointAgeSpan,1.0,0.4984045886804009,0.5,0.0
GunPointMaleVersusFemale,1.0,0.5029283395030766,0.5,0.0
GunPointOldVersusYoung,1.0,0.4977409104909511,0.5,0.0
Ham,1.0,0.4989253236948093,0.4988399071925754,0.0
HandOutlines,1.0,0.49762047560787154,0.4998154300479882,0.0
Haptics,1.0,0.499271018684718,0.4981684981684982,0.0
Herring,1.0,0.501571172822719,0.5,0.0
HouseTwenty,1.0,0.4994197625824406,0.4994974874371859,0.0
InlineSkate,1.0,0.4998123579145554,0.49946865037194477,0.0
InsectEPGRegularTrain,1.0,0.5025359030271058,0.5009596928982726,0.0
InsectEPGSmallTrain,1.0,0.4960174924733694,0.49750415973377704,0.0
InsectWingbeatSound,1.0,0.49894536821153923,0.5,0.0
ItalyPowerDemand,1.0,0.5004586590855249,0.5,0.0
LargeKitchenAppliances,1.0,0.49624149555112107,0.49583333333333335,0.0
Lightning2,1.0,0.49690258793972586,0.49607535321821034,0.0
Lightning7,1.0,0.5008080225864653,0.5015673981191222,0.0
Mallat,1.0,0.4989993438298486,0.5,0.0
Meat,1.0,0.49986059241439645,0.5,0.0
MedicalImages,1.0,0.4971082870701006,0.494949494949495,0.0
MelbournePedestrian,1.0,0.4897696372072006,0.5,0.0
MiddlePhalanxOutlineAgeGroup,1.0,0.5021644508184899,0.5,0.0
MiddlePhalanxOutlineCorrect,1.0,0.5005121421768067,0.5,0.0
MiddlePhalanxTW,1.0,0.49821223936456055,0.5,0.0
MixedShapesRegularTrain,1.0,0.49979878192673344,0.5,0.0
MixedShapesSmallTrain,1.0,0.5009413404887381,0.5,0.0
MoteStrain,1.0,0.4987294199495339,0.5,0.0
NonInvasiveFetalECGThorax1,1.0,0.5000389016301733,0.49866666666666665,0.0
NonInvasiveFetalECGThorax2,1.0,0.5027438978265699,0.504,0.0
OSULeaf,1.0,0.4998836273470795,0.49882903981264637,0.0
OliveOil,1.0,0.49898582021699345,0.5,0.0
PhalangesOutlinesCorrect,1.0,0.5007479688137357,0.5,0.0
Phoneme,1.0,0.500008082515995,0.5,0.0
PigAirwayPressure,1.0,0.500334274917996,0.5,0.0
PigArtPressure,1.0,0.5017496706502572,0.5015,0.0
PigCVP,1.0,0.49978661263345914,0.5,0.0
Plane,1.0,0.499843408541482,0.5,0.0
PowerCons,1.0,0.4985473598537133,0.5,0.0
ProximalPhalanxOutlineAgeGroup,1.0,0.4959594862170113,0.5,0.0
ProximalPhalanxOutlineCorrect,1.0,0.4986598937981368,0.5,0.0
ProximalPhalanxTW,1.0,0.499009116004528,0.5,0.0
RefrigerationDevices,1.0,0.5005396343543619,0.5,0.0
Rock,1.0,0.5004531466046672,0.5,0.0
ScreenType,1.0,0.5020917220052337,0.5013888888888889,0.0
SemgHandGenderCh2,1.0,0.4991135731970154,0.5,0.0
SemgHandMovementCh2,1.0,0.5002688531969061,0.5,0.0
SemgHandSubjectCh2,1.0,0.5001582600251613,0.5,0.0
ShapeletSim,0.9285714285714286,0.5000571451460514,0.5,0.125
ShapesAll,1.0,0.49976597975128095,0.5,0.0
SmallKitchenAppliances,1.0,0.5036439097208775,0.5041666666666667,0.0
SmoothSubspace,1.0,0.4990497481481482,0.4666666666666667,0.0
SonyAIBORobotSurface1,1.0,0.49861794655417013,0.5,0.0
SonyAIBORobotSurface2,1.0,0.4992457204732048,0.49230769230769234,0.0
StarLightCurves,1.0,0.4987664697937603,0.5,0.0
Strawberry,1.0,0.5005538288717372,0.502127659574468,0.0
SwedishLeaf,1.0,0.499777308534059,0.5,0.0
Symbols,1.0,0.5009501911559135,0.5,0.0
SyntheticControl,1.0,0.49997954589237886,0.5,0.0
ToeSegmentation1,1.0,0.5003579585711491,0.5018050541516246,0.0
ToeSegmentation2,1.0,0.5001685252402643,0.5014577259475219,0.0
Trace,1.0,0.499640753577908,0.49818181818181817,0.0
TwoLeadECG,1.0,0.5021594446655461,0.5,0.0
TwoPatterns,1.0,0.499998465713323,0.5,0.0
UMD,1.0,0.5000487567552448,0.5,0.0
UWaveGestureLibraryAll,1.0,0.5000372170491688,0.49947089947089945,0.0
UWaveGestureLibraryX,1.0,0.4999693114765251,0.4984126984126984,0.0
UWaveGestureLibraryY,1.0,0.49956500694185973,0.4984126984126984,0.0
UWaveGestureLibraryZ,1.0,0.5002379206460165,0.4984126984126984,0.0
Wafer,1.0,0.49961862131482077,0.5,0.0
Wine,1.0,0.4989790320518884,0.5,0.0
WordSynonyms,1.0,0.49919474657628204,0.5,0.0
Worms,1.0,0.5000244363595662,0.5,0.0
WormsTwoClass,1.0,0.4999848921590763,0.5,0.0
Yoga,1.0,0.49985868119982646,0.5,0.0
